,filename,width,height,class,xmin,ymin,xmax,ymax
123,0049.jpg,512,512,Car,290,217,340,287
124,0049.jpg,512,512,Car,348,229,426,312
125,0049.jpg,512,512,Car,253,215,269,235
126,0050.jpg,512,512,Car,227,208,242,227
127,0050.jpg,512,512,Bus,240,191,263,224
128,0051.jpg,512,512,Bus,245,236,277,279
129,0051.jpg,512,512,Bus,284,243,306,276
130,0052.jpg,512,512,Car,249,251,266,271
131,0052.jpg,512,512,Bus,264,234,288,270
132,0053.jpg,512,512,Traffic_sign,168,197,180,214
133,0054.jpg,512,512,Traffic_sign,94,208,118,237
134,0055.jpg,512,512,Traffic_sign,70,167,94,199
135,0056.jpg,512,512,Bus,255,195,282,237
136,0056.jpg,512,512,Car,240,218,257,240
137,0057.jpg,512,512,Car,236,239,261,264
138,0057.jpg,512,512,Bus,258,217,284,262
139,0058.jpg,512,512,Traffic_sign,270,237,287,255
140,0059.jpg,512,512,Traffic_sign,240,248,258,271
141,0060.jpg,512,512,Traffic_sign,227,211,251,236
142,0061.jpg,512,512,Traffic_sign,169,227,195,259
143,0061.jpg,512,512,Traffic_sign,242,233,253,246
144,0062.jpg,512,512,Traffic_sign,151,190,176,221
145,0062.jpg,512,512,Traffic_sign,233,197,244,211
146,0063.jpg,512,512,Bus,246,183,278,227
147,0063.jpg,512,512,Car,228,207,245,228
148,0064.jpg,512,512,Traffic_sign,168,209,184,231
149,0065.jpg,512,512,Traffic_sign,4,203,35,246
150,0066.jpg,512,512,Car,251,251,278,278
151,0066.jpg,512,512,Bus,277,220,315,276
152,0067.jpg,512,512,Bus,267,181,306,244
153,0067.jpg,512,512,Car,238,216,266,249
154,0068.jpg,512,512,Car,263,246,300,287
155,0068.jpg,512,512,Bus,296,198,344,282
156,0069.jpg,512,512,Bus,282,169,337,245
157,0069.jpg,512,512,Car,247,212,286,255
158,0070.jpg,512,512,Person,98,274,147,447
159,0071.jpg,512,512,Traffic_sign,146,213,160,232
160,0071.jpg,512,512,Person,60,238,107,419
161,0072.jpg,512,512,Traffic_sign,152,246,169,267
162,0073.jpg,512,512,Car,299,251,343,302
163,0073.jpg,512,512,Bus,332,196,400,286
164,0074.jpg,512,512,Traffic_sign,142,209,159,233
165,0075.jpg,512,512,Traffic_sign,139,251,165,281
166,0076.jpg,512,512,Traffic_sign,122,214,147,245
167,0077.jpg,512,512,Traffic_sign,1,226,55,296
168,0078.jpg,512,512,Bus,319,163,385,258
169,0078.jpg,512,512,Car,281,215,328,278
170,0079.jpg,512,512,Bus,275,202,350,307
171,0080.jpg,512,512,Car,294,278,345,337
172,0080.jpg,512,512,Bus,330,225,394,319
173,0081.jpg,512,512,Bus,315,184,385,280
174,0081.jpg,512,512,Car,277,237,330,304
175,0082.jpg,512,512,Car,272,276,335,345
176,0082.jpg,512,512,Bus,317,212,389,320
177,0083.jpg,512,512,Traffic_sign,16,153,74,232
178,0084.jpg,512,512,Car,256,247,313,321
179,0084.jpg,512,512,Bus,306,179,377,297
180,0085.jpg,512,512,Bus,327,192,436,344
181,0085.jpg,512,512,Car,267,275,353,363
182,0086.jpg,512,512,Car,243,238,326,335
183,0086.jpg,512,512,Bus,309,148,423,316
184,0087.jpg,512,512,Car,258,278,391,420
185,0087.jpg,512,512,Bus,365,122,512,440
186,0088.jpg,512,512,Car,285,288,512,512
187,0089.jpg,512,512,Car,220,254,484,512
188,0090.jpg,512,512,Car,211,253,303,357
189,0090.jpg,512,512,Person,360,237,374,294
190,0090.jpg,512,512,Person,343,237,359,296
191,0090.jpg,512,512,Person,416,251,435,293
192,0091.jpg,512,512,Bus,262,167,337,277
193,0092.jpg,512,512,Car,237,281,307,357
194,0093.jpg,512,512,Car,248,280,320,364
195,0094.jpg,512,512,Traffic_sign,136,226,167,263
196,0095.jpg,512,512,Traffic_sign,114,184,148,227
197,0096.jpg,512,512,Traffic_sign,65,203,116,268
198,0097.jpg,512,512,Car,249,265,349,378
199,0098.jpg,512,512,Car,245,261,422,448
200,0099.jpg,512,512,Car,196,232,373,426
201,0099.jpg,512,512,Person,436,197,472,310
202,0100.jpg,512,512,Car,196,254,370,445
203,0100.jpg,512,512,Bus,222,179,269,254
204,0101.jpg,512,512,Bus,257,167,320,270
205,0101.jpg,512,512,Car,195,237,295,336
206,0101.jpg,512,512,Person,379,216,413,310
207,0102.jpg,512,512,Car,198,231,256,298
208,0102.jpg,512,512,Bus,274,128,373,295
209,0103.jpg,512,512,Traffic_sign,134,219,152,242
210,0104.jpg,512,512,Traffic_sign,126,255,147,282
211,0105.jpg,512,512,Traffic_sign,114,212,133,241
212,0106.jpg,512,512,Traffic_sign,102,235,126,269
213,0107.jpg,512,512,Car,283,267,319,322
214,0107.jpg,512,512,Bus,331,229,372,293
215,0107.jpg,512,512,Bus,393,2,512,511
216,0108.jpg,512,512,Traffic_sign,87,196,111,233
217,0109.jpg,512,512,Traffic_sign,89,247,116,283
218,0110.jpg,512,512,Traffic_sign,70,206,97,242
219,0111.jpg,512,512,Traffic_sign,53,261,87,304
220,0112.jpg,512,512,Traffic_sign,35,221,67,270
221,0113.jpg,512,512,Traffic_sign,0,239,35,306
222,0114.jpg,512,512,Bus,324,196,357,258
223,0114.jpg,512,512,Bus,368,3,512,512
224,0114.jpg,512,512,Car,264,238,305,287
225,0115.jpg,512,512,Bus,324,239,373,298
226,0116.jpg,512,512,Car,260,265,293,305
227,0116.jpg,512,512,Bus,311,203,386,310
228,0117.jpg,512,512,Bus,370,28,512,493
229,0117.jpg,512,512,Car,320,254,385,332
230,0117.jpg,512,512,Car,252,254,281,287
231,0118.jpg,512,512,Car,247,254,274,291
232,0119.jpg,512,512,Car,248,254,276,282
233,0120.jpg,512,512,Car,236,220,265,247
234,0120.jpg,512,512,Bus,257,199,278,231
235,0121.jpg,512,512,Car,264,261,297,292
236,0121.jpg,512,512,Bus,285,234,314,278
237,0122.jpg,512,512,Bus,285,218,330,280
238,0122.jpg,512,512,Car,253,255,295,303
239,0123.jpg,512,512,Car,235,224,280,274
240,0123.jpg,512,512,Bus,272,181,318,250
241,0124.jpg,512,512,Bus,313,203,390,314
242,0124.jpg,512,512,Car,251,263,318,335
243,0125.jpg,512,512,speed_sign,187,200,200,216
244,0126.jpg,512,512,speed_sign,150,221,166,242
245,0127.jpg,512,512,speed_sign,133,184,151,208
246,0128.jpg,512,512,Car,231,234,296,311
247,0128.jpg,512,512,Bus,299,165,378,285
248,0129.jpg,512,512,Traffic_sign,120,211,133,232
249,0130.jpg,512,512,Bus,356,223,453,328
250,0130.jpg,512,512,Person,396,258,417,345
251,0130.jpg,512,512,Person,82,268,116,344
252,0131.jpg,512,512,Bus,362,134,512,352
253,0131.jpg,512,512,Car,266,251,380,377
254,0132.jpg,512,512,Car,238,220,348,345
255,0132.jpg,512,512,Bus,345,97,512,323
256,0133.jpg,512,512,Bus,393,76,512,455
257,0133.jpg,512,512,Car,247,275,426,462
258,0134.jpg,512,512,speed_sign,198,211,210,227
259,0135.jpg,512,512,speed_sign,180,230,200,254
260,0136.jpg,512,512,speed_sign,167,194,184,217
261,0137.jpg,512,512,speed_sign,49,198,89,252
262,0138.jpg,512,512,speed_sign,13,158,54,215
263,0139.jpg,512,512,Car,238,248,334,363
264,0139.jpg,512,512,Bus,313,239,343,290
265,0140.jpg,512,512,Bus,267,226,312,295
266,0140.jpg,512,512,Car,208,273,272,357
267,0140.jpg,512,512,Person,105,252,175,429
268,0141.jpg,512,512,Car,209,278,356,448
269,0141.jpg,512,512,Bus,284,203,319,278
270,0141.jpg,512,512,Bus,303,182,367,331
271,0142.jpg,512,512,Bus,336,65,512,393
272,0142.jpg,512,512,Car,236,265,319,372
273,0142.jpg,512,512,Bus,282,230,304,270
274,0143.jpg,512,512,Bus,278,234,300,269
275,0143.jpg,512,512,Bus,382,1,512,468
276,0143.jpg,512,512,Car,250,261,304,332
277,0144.jpg,512,512,Car,250,267,294,330
278,0144.jpg,512,512,Car,418,254,487,331
279,0144.jpg,512,512,Bus,273,232,301,278
280,0145.jpg,512,512,Car,214,262,306,381
281,0145.jpg,512,512,Bus,268,199,348,301
282,0146.jpg,512,512,Bus,254,164,334,271
283,0146.jpg,512,512,Car,182,237,272,356
284,0147.jpg,512,512,speed_sign,176,214,190,232
285,0148.jpg,512,512,speed_sign,88,215,113,249
286,0149.jpg,512,512,speed_sign,64,175,90,212
287,0150.jpg,512,512,Car,183,268,308,413
288,0150.jpg,512,512,Bus,293,160,453,359
289,0151.jpg,512,512,Traffic_sign,7,169,36,205
290,0152.jpg,512,512,Bus,305,130,418,290
291,0152.jpg,512,512,Car,249,247,355,364
292,0153.jpg,512,512,Car,245,273,324,362
293,0153.jpg,512,512,Bus,262,207,312,275
294,0153.jpg,512,512,Bus,325,71,512,372
295,0154.jpg,512,512,Car,218,277,390,467
296,0154.jpg,512,512,Bus,285,115,445,335
297,0155.jpg,512,512,Car,200,294,405,512
298,0155.jpg,512,512,Car,289,255,338,300
299,0155.jpg,512,512,Bus,316,1,512,433
300,0156.jpg,512,512,Car,209,304,512,512
301,0156.jpg,512,512,Car,362,257,502,385
302,0156.jpg,512,512,Person,2,258,89,438
303,0156.jpg,512,512,Person,239,247,263,292
304,0156.jpg,512,512,Person,178,247,210,309
305,0157.jpg,512,512,Car,225,286,334,419
306,0158.jpg,512,512,Car,237,274,337,381
307,0159.jpg,512,512,Car,264,270,354,365
308,0160.jpg,512,512,Bus,191,194,232,270
309,0160.jpg,512,512,Bus,276,208,351,288
310,0160.jpg,512,512,Car,111,252,152,301
311,0161.jpg,512,512,Car,265,267,340,357
312,0161.jpg,512,512,Bus,255,237,272,272
313,0162.jpg,512,512,Bus,244,228,272,274
314,0162.jpg,512,512,Car,250,264,312,335
315,0163.jpg,512,512,Car,227,231,292,302
316,0163.jpg,512,512,Bus,234,193,261,234
317,0164.jpg,512,512,Bus,223,184,318,292
318,0165.jpg,512,512,Bus,246,213,280,276
319,0165.jpg,512,512,Car,220,259,265,317
320,0166.jpg,512,512,Car,201,226,249,283
321,0166.jpg,512,512,Bus,236,178,272,241
322,0167.jpg,512,512,Car,221,262,250,295
323,0168.jpg,512,512,Car,207,228,236,263
324,0169.jpg,512,512,Car,198,259,223,293
325,0170.jpg,512,512,Car,258,256,283,283
326,0171.jpg,512,512,Car,250,225,272,249
327,0172.jpg,512,512,Car,257,228,284,257
328,0173.jpg,512,512,Car,260,219,280,242
329,0174.jpg,512,512,Car,263,251,282,276
330,0175.jpg,512,512,Car,254,266,274,284
331,0176.jpg,512,512,Car,247,230,267,253
332,0177.jpg,512,512,Car,244,219,260,241
333,0178.jpg,512,512,Car,240,252,258,270
334,0179.jpg,512,512,Car,232,250,251,272
335,0180.jpg,512,512,Car,225,218,240,239
336,0181.jpg,512,512,Car,257,254,355,318
337,0182.jpg,512,512,Car,242,219,344,285
338,0183.jpg,512,512,Car,261,251,422,337
339,0184.jpg,512,512,Car,242,208,404,309
340,0185.jpg,512,512,Car,242,246,478,395
341,0186.jpg,512,512,Car,258,215,272,236
342,0187.jpg,512,512,Bus,202,248,222,273
343,0188.jpg,512,512,Car,250,226,266,245
344,0189.jpg,512,512,Car,265,255,280,270
345,0190.jpg,512,512,Traffic_sign,136,197,157,221
346,0191.jpg,512,512,Traffic_sign,36,194,70,237
347,0192.jpg,512,512,Traffic_sign,8,155,42,201
348,0193.jpg,512,512,Car,117,258,185,322
349,0193.jpg,512,512,Bus,238,231,260,266
350,0194.jpg,512,512,Traffic_sign,34,208,61,242
351,0195.jpg,512,512,Traffic_sign,8,169,35,205
352,0196.jpg,512,512,Bus,234,198,252,239
353,0196.jpg,512,512,Car,94,228,164,293
354,0197.jpg,512,512,Traffic_sign,166,210,190,240
355,0198.jpg,512,512,Traffic_sign,147,174,170,203
356,0199.jpg,512,512,Bus,244,228,271,274
357,0200.jpg,512,512,Bus,236,195,262,242
358,0201.jpg,512,512,Bus,246,201,291,279
359,0202.jpg,512,512,Bus,240,170,282,244
360,0203.jpg,512,512,Bus,287,162,420,336
361,0203.jpg,512,512,Car,278,264,298,302
362,0204.jpg,512,512,Bus,212,232,236,263
363,0205.jpg,512,512,Bus,300,221,350,293
364,0206.jpg,512,512,Bus,287,189,343,260
365,0207.jpg,512,512,Traffic_sign,168,211,183,230
366,0208.jpg,512,512,Traffic_sign,122,219,143,246
367,0209.jpg,512,512,Traffic_sign,106,182,125,208
368,0210.jpg,512,512,Traffic_sign,71,191,102,232
369,0211.jpg,512,512,Traffic_sign,43,152,76,194
370,0212.jpg,512,512,Bus,238,243,277,287
371,0213.jpg,512,512,Traffic_sign,116,201,140,234
372,0214.jpg,512,512,Traffic_sign,97,163,122,193
373,0215.jpg,512,512,Bus,270,194,289,225
374,0215.jpg,512,512,Bus,250,200,266,226
375,0216.jpg,512,512,Bus,273,219,336,301
376,0217.jpg,512,512,Bus,269,230,298,275
377,0218.jpg,512,512,Bus,262,201,287,240
378,0219.jpg,512,512,Bus,277,214,319,284
379,0219.jpg,512,512,Bus,265,234,281,259
380,0220.jpg,512,512,Bus,266,183,310,250
381,0220.jpg,512,512,Bus,257,200,278,227
382,0221.jpg,512,512,Bus,269,224,290,260
383,0221.jpg,512,512,Bus,333,99,512,384
384,0222.jpg,512,512,Bus,317,49,512,369
385,0222.jpg,512,512,Bus,262,195,281,226
386,0223.jpg,512,512,Bus,267,229,294,274
387,0224.jpg,512,512,Bus,324,103,512,371
388,0225.jpg,512,512,Bus,311,61,512,347
389,0226.jpg,512,512,Bus,260,184,328,271
390,0227.jpg,512,512,Traffic_sign,187,219,196,231
391,0228.jpg,512,512,Traffic_sign,166,208,190,237
392,0229.jpg,512,512,Traffic_sign,146,172,171,201
393,0230.jpg,512,512,Traffic_sign,36,163,85,226
394,0231.jpg,512,512,Traffic_sign,0,124,46,191
395,0232.jpg,512,512,Traffic_sign,166,214,180,234
396,0232.jpg,512,512,Bus,236,217,257,253
397,0233.jpg,512,512,Bus,254,219,288,274
398,0233.jpg,512,512,Traffic_sign,132,209,156,240
399,0234.jpg,512,512,Traffic_sign,104,231,130,262
400,0235.jpg,512,512,Traffic_sign,84,194,111,227
401,0236.jpg,512,512,Bus,289,187,367,310
402,0237.jpg,512,512,Bus,278,152,360,279
403,0238.jpg,512,512,Car,236,244,260,270
404,0239.jpg,512,512,Car,226,212,250,238
405,0240.jpg,512,512,Car,288,241,359,320
406,0241.jpg,512,512,Car,272,214,347,298
407,0242.jpg,512,512,Traffic_sign,57,166,102,223
408,0243.jpg,512,512,Traffic_sign,24,126,70,186
409,0244.jpg,512,512,Traffic_sign,177,214,194,233
410,0245.jpg,512,512,Traffic_sign,156,232,178,257
411,0246.jpg,512,512,Traffic_sign,143,197,160,219
412,0247.jpg,512,512,Traffic_sign,42,185,82,237
413,0248.jpg,512,512,Traffic_sign,8,145,52,200
414,0249.jpg,512,512,Traffic_sign,196,187,209,205
415,0250.jpg,512,512,Traffic_sign,155,206,177,231
416,0251.jpg,512,512,Traffic_sign,137,165,161,198
417,0252.jpg,512,512,Bus,192,234,217,268
418,0253.jpg,512,512,Traffic_sign,195,198,212,217
419,0254.jpg,512,512,Traffic_sign,146,203,172,232
420,0255.jpg,512,512,Traffic_sign,128,166,152,196
421,0256.jpg,512,512,Bus,184,202,206,233
422,0257.jpg,512,512,Bus,210,227,250,276
423,0258.jpg,512,512,Bus,198,193,241,243
424,0259.jpg,512,512,Bus,288,201,354,301
425,0260.jpg,512,512,Bus,277,166,346,268
426,0261.jpg,512,512,Bus,321,168,438,326
427,0261.jpg,512,512,Car,309,249,331,288
428,0262.jpg,512,512,Car,296,220,318,254
429,0262.jpg,512,512,Bus,309,123,427,309
430,0263.jpg,512,512,Traffic_sign,151,204,169,225
431,0264.jpg,512,512,Traffic_sign,132,236,156,269
432,0265.jpg,512,512,Traffic_sign,112,201,136,231
433,0266.jpg,512,512,Traffic_sign,148,177,163,198
434,0267.jpg,512,512,Traffic_sign,157,230,175,253
435,0268.jpg,512,512,Traffic_sign,140,191,161,220
436,0269.jpg,512,512,Traffic_sign,133,240,160,275
437,0270.jpg,512,512,Traffic_sign,109,203,139,241
438,0271.jpg,512,512,Car,260,230,282,257
439,0272.jpg,512,512,Car,286,259,340,312
440,0273.jpg,512,512,Car,271,224,327,284
441,0274.jpg,512,512,Bus,111,168,205,327
442,0274.jpg,512,512,Car,333,243,372,318
443,0274.jpg,512,512,Car,365,229,496,400
444,0274.jpg,512,512,Person,127,254,157,385
445,0274.jpg,512,512,Person,226,249,242,297
446,0275.jpg,512,512,Traffic_sign,148,201,166,225
447,0276.jpg,512,512,Traffic_sign,94,207,128,247
448,0277.jpg,512,512,Traffic_sign,72,169,103,210
449,0278.jpg,512,512,Traffic_sign,107,234,127,259
450,0279.jpg,512,512,Traffic_sign,93,198,108,220
451,0280.jpg,512,512,Traffic_sign,35,244,62,277
452,0281.jpg,512,512,Traffic_sign,14,207,39,237
453,0282.jpg,512,512,Traffic_sign,151,198,166,220
454,0283.jpg,512,512,Traffic_sign,106,214,132,248
455,0284.jpg,512,512,Traffic_sign,82,175,111,214
456,0285.jpg,512,512,Traffic_sign,137,167,162,201
457,0286.jpg,512,512,Traffic_sign,82,188,98,207
458,0287.jpg,512,512,Traffic_sign,123,209,140,232
459,0288.jpg,512,512,Traffic_sign,104,170,126,196
460,0289.jpg,512,512,Traffic_sign,79,191,116,239
461,0290.jpg,512,512,Traffic_sign,49,149,88,200
462,0291.jpg,512,512,Traffic_sign,122,224,142,248
463,0292.jpg,512,512,Traffic_sign,108,190,124,210
464,0293.jpg,512,512,Traffic_sign,66,210,96,245
465,0294.jpg,512,512,Traffic_sign,44,170,74,209
466,0295.jpg,512,512,Traffic_sign,154,191,168,214
467,0296.jpg,512,512,Traffic_sign,107,210,136,249
468,0297.jpg,512,512,Traffic_sign,83,174,114,210
469,0298.jpg,512,512,Bus,308,121,412,282
470,0298.jpg,512,512,Person,416,217,440,351
471,0298.jpg,512,512,Person,426,220,476,368
472,0299.jpg,512,512,Traffic_sign,127,201,143,224
473,0300.jpg,512,512,Traffic_sign,36,217,67,254
474,0301.jpg,512,512,Traffic_sign,10,181,42,218
475,0302.jpg,512,512,Traffic_sign,257,226,276,251
476,0303.jpg,512,512,Traffic_sign,242,189,264,215
477,0304.jpg,512,512,Traffic_sign,70,194,111,250
478,0305.jpg,512,512,Bus,267,237,295,274
479,0306.jpg,512,512,Bus,261,203,289,243
480,0307.jpg,512,512,Bus,287,223,324,276
481,0308.jpg,512,512,Bus,278,189,320,243
482,0309.jpg,512,512,Bus,393,99,512,429
483,0310.jpg,512,512,Bus,371,35,512,437
484,0311.jpg,512,512,Car,270,264,286,291
485,0312.jpg,512,512,Car,315,275,368,332
486,0312.jpg,512,512,Car,280,269,311,302
487,0313.jpg,512,512,Car,266,241,291,274
488,0313.jpg,512,512,Car,448,276,512,444
489,0314.jpg,512,512,Car,430,246,512,468
490,0314.jpg,512,512,Car,257,211,284,246
491,0315.jpg,512,512,Car,412,260,512,422
492,0316.jpg,512,512,Car,395,239,512,417
493,0325.jpg,512,512,Bus,144,183,184,246
494,0326.jpg,512,512,Bus,2,218,27,287
495,0327.jpg,512,512,Bus,0,215,44,311
496,0328.jpg,512,512,Bus,2,184,35,272
497,0329.jpg,512,512,Bus,466,177,512,317
498,0330.jpg,512,512,Bus,458,139,512,295
499,0331.jpg,512,512,Bus,395,116,512,328
500,0331.jpg,512,512,Bus,352,192,406,276
501,0332.jpg,512,512,Bus,280,169,445,365
502,0332.jpg,512,512,Bus,245,209,301,296
503,0333.jpg,512,512,Bus,232,178,286,260
504,0333.jpg,512,512,Bus,263,132,424,336
505,0334.jpg,512,512,Bus,305,131,451,323
506,0334.jpg,512,512,Car,290,231,330,281
507,0334.jpg,512,512,Car,277,229,302,264
508,0335.jpg,512,512,Car,287,280,350,346
509,0335.jpg,512,512,Car,247,274,262,296
510,0335.jpg,512,512,Bus,322,118,512,422
511,0335.jpg,512,512,Bus,267,257,307,306
512,0336.jpg,512,512,Bus,258,177,297,234
513,0336.jpg,512,512,Bus,334,1,512,474
514,0336.jpg,512,512,Car,281,200,358,287
515,0336.jpg,512,512,Car,245,198,263,221
516,0337.jpg,512,512,Car,248,232,268,256
517,0337.jpg,512,512,Car,299,232,348,289
518,0337.jpg,512,512,Car,324,242,454,378
519,0337.jpg,512,512,Bus,265,208,311,279
520,0338.jpg,512,512,Bus,84,160,134,243
521,0338.jpg,512,512,Car,68,192,90,218
522,0339.jpg,512,512,Person,303,301,341,419
523,0339.jpg,512,512,Person,226,293,317,506
524,0340.jpg,512,512,Person,338,243,394,433
525,0341.jpg,512,512,Person,293,208,355,403
526,0342.jpg,512,512,Bus,259,232,296,280
527,0343.jpg,512,512,Bus,255,200,287,249
528,0344.jpg,512,512,Bus,350,227,391,287
529,0345.jpg,512,512,Bus,248,244,296,287
530,0345.jpg,512,512,Bus,1,60,226,372
531,0346.jpg,512,512,Bus,216,236,257,295
532,0347.jpg,512,512,Bus,208,206,251,266
533,0348.jpg,512,512,Bus,274,171,375,319
534,0349.jpg,512,512,Bus,272,59,468,336
535,0350.jpg,512,512,Person,330,255,398,383
536,0350.jpg,512,512,Person,376,267,416,376
537,0351.jpg,512,512,Person,370,234,395,354
538,0351.jpg,512,512,Person,349,236,374,340
539,0351.jpg,512,512,Person,301,231,357,314
540,0352.jpg,512,512,Bus,0,110,159,397
541,0352.jpg,512,512,Person,195,256,216,323
542,0352.jpg,512,512,Person,347,256,363,304
543,0353.jpg,512,512,Bus,260,206,290,251
544,0354.jpg,512,512,Bus,291,225,318,276
545,0355.jpg,512,512,Bus,302,202,340,268
546,0356.jpg,512,512,Car,364,264,502,430
547,0356.jpg,512,512,Bus,416,198,512,323
